tweets,id,date,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
Arrival of H. E. John Dramani Mahama in Tuobodom today. #SpeakOut @JDMahama @BigDaddyCee7 @SamToys_NPP @NatTettehGhana @alexkmould @Dorsty1R @ndccommbureau @NDC20202 @OfficialNDCGh @officialNDCusa @FelixKwakyeOfo1 @Id_abdulrazak,1233137868563865601,2020-02-27 21:12:33+00:00,24.0,6.0,arrival h e john dramani mahama tuobodom today speakout USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION,0.0,0.0,1.0,0.0
When former President John Dramani Mahama said he had inherited a legacy problem in the power sector and that he wasn rsquo;t going to... https://is.gd/5v18G5,1233133225981050881,2020-02-27 20:54:06+00:00,0.0,0.0,former president john dramani mahama said inherited legacy problem power sector going URL,0.184,0.0,0.816,0.0
HIS EXCELLENCY JOHN DRAMANI MAHAMA because he feels the way we feel,1233069283640594433,2020-02-27 16:40:01+00:00,2.0,0.0,excellency john dramani mahama feels way feel,0.0,0.368,0.632,0.0
Former President John Dramani Mahama has made an astonishing claim to the effect that he brought about the now highly acclaimed Free Senior High School (SHS) policy — one of the flagship initiatives of the Akufo-Addo administration. http://bit.ly/2vlGdEY,1233065715462287366,2020-02-27 16:25:50+00:00,0.0,1.0,former president john dramani mahama made astonishing claim effect brought highly acclaimed free senior high school shs policy one flagship initiatives akufoaddo administration URL,0.0,0.429,0.815,0.576
Former President John Dramani Mahama has made an astonishing claim to the effect that he brought about the now highly acclaimed Free Senior High School (SHS) policy — one of the flagship initiatives of the Akufo-Addo administration. #Freeshs #PresidentJo https://www.ghbreakingnews.com/i-brought-free-shs-mahama-claims/,1233041898367016960,2020-02-27 14:51:12+00:00,1.0,2.0,former president john dramani mahama made astonishing claim effect brought highly acclaimed free senior high school shs policy one flagship initiatives akufoaddo administration freeshs presidentjo URL,0.0,0.416,0.828,0.576
"WE WILL SUPPORT MAHAMA TO WIN ELECTION 2020 – SENCHIEMHENE Chief of Sienchiem, a town in the Ahafo Region has pledged the support of his people to ensure a win for Flagbearer of the NDC, John Dramani Mahama in the 2020 elections. https://www.ghanaquest.com/we-will-support-mahama-to-win-election-2020-senchiemhane/",1233023376966504451,2020-02-27 13:37:36+00:00,2.0,0.0,support mahama win election senchiemhene chief sienchiem town ahafo region pledged support people ensure win flagbearer ndc john dramani mahama elections URL,0.0,1.279,0.521,0.4
"Ashanti Kingdom: ManhyiaPalace ""Former President John Dramani Mahama JDMahama at the occasion. "" #Exploregh #Ashanti #Kumasi #VisitKumasi",1232948112525754368,2020-02-27 08:38:31+00:00,0.0,1.0,ashanti kingdom manhyiapalace former president john dramani mahama jdmahama occasion exploregh ashanti kumasi visitkumasi,0.0,0.0,1.0,0.0
"You fear the return of DUMSOR, yet u are clamouring for the return of John Dramani Mahama , you need deliverance!!",1232939073700028416,2020-02-27 08:02:36+00:00,4.0,0.0,fear return dumsor yet u clamouring return john dramani mahama need deliverance,0.225,0.0,0.775,0.0
"Agya Ntow, a cocoa farmer from Kasapin, speaking at a Community and Farmers Durbar on Wednesday as part of a #SpeakOut tour of the Ahafo Region by the Flagbearer of the National Democratic Congress, John Dramani Mahama. ",1232937294438522880,2020-02-27 07:55:32+00:00,23.0,8.0,agya ntow cocoa farmer kasapin speaking community farmers durbar wednesday part speakout tour ahafo region flagbearer national democratic congress john dramani mahama,0.0,0.0,1.0,0.0
"MAHAMA TOURS AHAFO REGION: Fomer president of Ghana and Flagbearer of the NDC, John Dramani Mahama is continuing with the party's SpeakOut Tour in the Ahafo Region. Find out more here. The post MAHAMA TOURS AHAFO REGION appeared first on Ghana Quest. ",1232924834943758336,2020-02-27 07:06:01+00:00,0.0,0.0,mahama tours ahafo region fomer president ghana flagbearer ndc john dramani mahama continuing partys speakout tour ahafo region find post mahama tours ahafo region appeared first ghana quest,0.0,0.25,1.0,0.3333333333333333
