tweets,id,date,source,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
Ghana Wouldn’t Have Recorded A COVID-19 Case If Akuffo Addo Had Listened To Wisdom- Dag-Heward Mills… https://t.co/WD8l5K8Dcs,1.2492398056759296e+18,Sun Apr 12 07:35:54 +0000 2020,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0.0,0.0,ghana recorded covid19 case akuffo addo listened wisdom dagheward URL,0.0,0.274,0.726,0.0
RT @BigDaddyCee7: #4More4Nana Dis Virus outbreak in Ghana has really exposed the Lies n thinking Caps of Akuffo Addo n his Officials n Ghan…,1.249238061365461e+18,Sun Apr 12 07:28:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION dis virus outbreak ghana really exposed lies n thinking caps akuffo addo n officials n,0.25,0.2,0.75,0.2
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.2492363987518546e+18,Sun Apr 12 07:22:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
"Video: Ei! Ashanti Regional Minister rêacts to possible extênsion of Akuffo Addo's 2 weeks lóckdówn
https://t.co/TbrLjJGfA9",1.2492307892183818e+18,Sun Apr 12 07:00:04 +0000 2020,"<a href=""https://www.ghananewssummary.com"" rel=""nofollow"">GhanaNewsSummary</a>",0.0,0.0,video ei ashanti regional minister possible akuffo addos weeks URL,0.0,0.0,1.0,1.0
@3makuoSecretary @yebevanz Go sit with Akuffo Addo sef,1.2492295098885448e+18,Sun Apr 12 06:54:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION USER_MENTION go sit akuffo addo sef,0.0,0.0,1.0,0.0
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2492288514079908e+18,Sun Apr 12 06:52:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
@Pounds_CE @WilliamAdoasi @NAkufoAddo Shw3 😂😂😂 Akuffo-Addo u go Dey der saaa,1.2492286614982943e+18,Sun Apr 12 06:51:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION USER_MENTION USER_MENTION shw3 akuffoaddo u go dey der saa,0.0,0.0,1.0,0.0
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.249225951336112e+18,Sun Apr 12 06:40:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
RT @sikaena1: AKUFFO ADDO SHOULD GIVE DE FOOD TO JEHOVAH WITNESS TO SHARE.THEY KNOW EVERY CORNER IN GHANA.🤣🤣🤣🤣🤣🤣🤣🤣,1.2492238707600712e+18,Sun Apr 12 06:32:34 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,3.0,USER_MENTION akuffo addo give de food jehovah witness share.they know every corner,0.0,0.0,1.0,0.0
"FREE for All African Countries: AI enabled COVID-19 Citizen Alert, Contact Tracing and Contact Monitoring Solution.… https://t.co/yTicX3RLTr",1.24921963016772e+18,Sun Apr 12 06:15:43 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,free african countries ai enabled covid19 citizen alert contact tracing contact monitoring URL,0.0,0.533,0.667,0.4
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2491700632125809e+18,Sun Apr 12 02:58:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2491512382156964e+18,Sun Apr 12 01:43:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
@NanaAnsah20 They can choose to share stones in Akuffo Addo's name. But what God has appointed is appointed,1.249150262192857e+18,Sun Apr 12 01:40:05 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,1.0,USER_MENTION choose share stones akuffo addos name god appointed appointed,0.0,0.35,0.65,0.0
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.249148321039614e+18,Sun Apr 12 01:32:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
"RT @walkinonlineksi: We are open for delivery 🚚 only. Please contact our customer service on 0547662706 to place an order. Thank you 

Ghan…",1.2491424714745324e+18,Sun Apr 12 01:09:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,13.0,USER_MENTION open delivery please contact customer service place order thank,0.0,0.375,0.625,0.5
RT @BigDaddyCee7: #SayNoToVisionlessNaNaAddo Akuffo Addo Stop Hiding in ur Closet n Addressing Us at night n Lying to Us.All ur Promises ar…,1.2491407763046072e+18,Sun Apr 12 01:02:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,11.0,USER_MENTION saynotovisionlessnanaaddo akuffo addo stop hiding ur closet n addressing us night n lying us.all ur promises,0.333,0.111,0.556,0.0
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.249134481082024e+18,Sun Apr 12 00:37:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2491286697396593e+18,Sun Apr 12 00:14:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.2491269429488968e+18,Sun Apr 12 00:07:25 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
RT @iBossy_Gh: Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂,1.249126698962092e+18,Sun Apr 12 00:06:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,8.0,USER_MENTION lowkey dey wan talk akuffo addo ein enfa,0.2,0.0,1.0,0.15000000000000002
Lowkey you dey wan talk Akuffo Addo ein own some but enfa .😂 https://t.co/cRL6HQ3ViQ,1.2491265035494892e+18,Sun Apr 12 00:05:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",61.0,8.0,lowkey dey wan talk akuffo addo ein enfa URL,0.2,0.0,1.0,0.15000000000000002
@Original_KW @skiny_mimz Eii akuffo addo water idy go so 😂😂😂,1.2491232189229097e+18,Sat Apr 11 23:52:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION USER_MENTION eii akuffo addo water idy go,0.0,0.0,1.0,0.0
@xx_tray Ei then be like Akuffo Addo in Son dey come marry Obama in daughter oo😂😂,1.2491219442571387e+18,Sat Apr 11 23:47:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION ei like akuffo addo son dey come marry obama daughter,0.0,0.2,0.8,0.0
"Prez Akuffo Addo Appreciates Jack Ma And Stakeholders Helping To Combat Coronavirus In Ghana 

READ MORE:… https://t.co/Nd2vAJkoGv",1.2491146100593132e+18,Sat Apr 11 23:18:25 +0000 2020,"<a href=""https://www.blog.iammarketingmedia.com"" rel=""nofollow"">IAMBLOG2TWITTER</a>",0.0,0.0,prez akuffo addo appreciates jack stakeholders helping combat coronavirus ghana read URL,0.142,0.325,0.533,0.0
